RISO,G,Text
DZA,90364,c_bool(False)
DZA,90365,c_bool(False)
DZA,90366,c_bool(False)
DZA,90367,c_bool(False)
DZA,90368,c_bool(False)
DZA,90369,c_bool(False)
DZA,90370,c_bool(False)
DZA,90371,c_bool(False)
DZA,90372,c_bool(False)
DZA,90373,c_bool(False)
DZA,90374,c_bool(False)
DZA,90375,c_bool(False)
DZA,90376,c_bool(False)
DZA,90377,c_bool(False)
DZA,90378,c_bool(False)
DZA,90379,c_bool(False)
DZA,90380,c_bool(False)
DZA,91064,c_bool(False)
DZA,91065,c_bool(False)
DZA,91066,c_bool(False)
DZA,91067,c_bool(False)
DZA,91068,c_bool(False)
DZA,91069,c_bool(False)
DZA,91070,c_bool(False)
DZA,91071,c_bool(False)
DZA,91072,c_bool(False)
DZA,91073,c_bool(False)
DZA,91074,c_bool(False)
DZA,91075,c_bool(False)
DZA,91076,c_bool(False)
DZA,91077,c_bool(False)
DZA,91078,c_bool(False)
DZA,91079,c_bool(False)
DZA,91080,c_bool(False)
DZA,91081,c_bool(False)
DZA,91082,c_bool(False)
DZA,91083,c_bool(False)
DZA,91084,c_bool(False)
DZA,91085,c_bool(False)
DZA,91086,c_bool(False)
DZA,91087,c_bool(False)
DZA,91088,c_bool(False)
DZA,91089,c_bool(False)
DZA,91090,c_bool(False)
DZA,91091,c_bool(False)
DZA,91092,c_bool(False)
DZA,91093,c_bool(False)
DZA,91094,c_bool(False)
DZA,91095,c_bool(False)
DZA,91096,c_bool(False)
DZA,91097,c_bool(False)
DZA,91098,c_bool(False)
DZA,91099,c_bool(False)
DZA,91100,c_bool(False)
DZA,91786,c_bool(False)
DZA,91787,c_bool(False)
DZA,91788,c_bool(False)
DZA,91789,c_bool(False)
DZA,91790,c_bool(False)
DZA,91791,c_bool(False)
DZA,91792,c_bool(False)
DZA,91793,c_bool(False)
DZA,91794,c_bool(False)
DZA,91795,c_bool(False)
DZA,91796,c_bool(False)
DZA,91797,c_bool(False)
DZA,91798,c_bool(False)
DZA,91799,c_bool(False)
DZA,91800,c_bool(False)
DZA,91801,c_bool(False)
DZA,91802,c_bool(False)
DZA,91803,c_bool(False)
